_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
-MfaCkyhyJpCmHVDS_qB,1984,0.5,4,smallsharpT,experiment,3,138,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,5,,6,0,1
-MfaCmAxnYK899whwSD4,2929,0.5,9,smalldotT,experiment,3,139,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaCnSB4LL5JpEYgGz1,3192,0.5,10,smalldotT,experiment,3,140,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,2,,18,0,1
-MfaCon_qOppCMEvul3J,2513,0.5,5,smallsharpT,experiment,3,141,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfaCq3IryqfukxW9gkF,3149,0.5,5,smalldotT,experiment,3,142,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfaCrMoxFn9CNJPpiMJ,2318,0.5,5,smalldotT,experiment,3,143,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,18,0,1
-MfaCtIBF0Kbd6iskiJq,5883,0.5,7,smalldotT,experiment,3,144,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,3,,18,0,1
-MfaCulkv6c9PlLIPC-H,3045,0.5,5,smallsharpT,experiment,3,145,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfaCw7YKi2ZgvXjNahc,2551,0.5,13,smalldotT,experiment,3,146,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaCx_00l66wrBZhsFh,2894,0.5,5,smallsharpT,experiment,3,147,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,18,1,1
-MfaCyvBHziMKqhyEZv0,2505,0.5,3,smalldotT,experiment,3,148,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,6,1,1
-MfaCzoG1gT05HlwXWz4,1640,0.5,8,smalldotT,experiment,3,149,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,12,0,1
-MfaD0-oWdbXNFXCOS48,1885,0.5,10,smallsharpT,experiment,3,150,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfaD1Rdi4PbcpymSQ-E,2869,0.5,11,smallsharpT,experiment,3,151,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,12,0,1
-MfaD2pZVBN3bxz3N0B3,3677,0.5,0,smalldotT,experiment,3,152,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfaD3cZcFKTEOt4lXBc,1255,0.5,8,smalldotT,experiment,3,153,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,18,0,1
-MfaD51V8hAvCdMnp3Z_,2740,0.5,10,smallsharpT,experiment,3,154,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaD6NrXH4OIheevAv2,2519,0.5,5,smalldotT,experiment,3,155,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfaD7DvRWnMSCE9hjMQ,1448,0.5,6,smallsharpT,experiment,3,156,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaD8Dis2kWPQJwXRAs,1066,0.5,0,smallsharpT,experiment,3,157,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,6,0,1
-MfaD9tQOkHIzYxh_dDe,3814,0.5,3,smalldotT,experiment,3,158,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaDBKDHZPJYvi6Snwe,2858,0.5,17,smallsharpT,experiment,3,159,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfaDCZDJ4cXuONmBccK,3041,0.5,4,smalldotT,experiment,3,160,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfaDEj4TotyGYdcavts,6873,0.5,9,smallsharpT,experiment,3,161,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfaDGWn0VKqJHh0u7qt,5328,0.5,4,smallsharpT,experiment,3,162,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfaDJXe0kC7BxvAYUFA,10336,0.5,4,smallsharpT,experiment,3,163,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,18,0,1
-MfaDKNrLU3cBgHXNYqt,1453,0.5,2,smallsharpT,experiment,3,164,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,4,,12,0,1
-MfaDLO7fpDHrDSDyfnT,1097,0.5,0,smallsharpT,experiment,3,165,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,5,,6,0,1
-MfaDM7EayL8xEdKQdA1,1002,0.5,5,smallsharpT,experiment,3,166,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,6,,6,0,1
-MfaDNCzknK9OaiWjB7R,1439,0.5,4,smalldotT,experiment,3,167,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
-MfaDOALQRXk-VnWgr_-,1914,0.5,10,smallsharpT,experiment,3,168,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
-MfaDPZz4ryv2-99flDM,2733,0.5,1,smalldotT,experiment,3,169,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaDQY3G-fGVFTQyIbG,956,0.5,3,smalldotT,experiment,3,170,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,2,,6,0,1
-MfaDRsoXT019pD2QU3h,2481,0.5,12,smallsharpT,experiment,3,171,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,18,1,1
-MfaDT1aIuADCI1QPI7N,2713,0.5,5,smallsharpT,experiment,3,172,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfaDUPP44g2gr7ULHxW,2598,0.5,9,smallsharpT,experiment,3,173,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfaDVkqxVqOnOk2cInx,2499,0.5,3,smallsharpT,experiment,3,174,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,4,,6,0,1
-MfaDWmWf90EN1sO1v65,1188,0.5,1,smallsharpT,experiment,3,175,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,5,,6,0,1
-MfaDYYcItK4sym0U39d,4217,0.5,1,smallsharpT,experiment,3,176,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,6,,12,0,1
-MfaDZZ2dbLWLKVSQFw2,1105,0.5,9,smallsharpT,experiment,3,177,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,7,,12,0,1
-MfaD_wR1NA6cQP3dpvS,2646,0.5,4,smalldotT,experiment,3,178,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaDax7j3J3A_kqD7Pk,1118,0.5,5,smallsharpT,experiment,3,179,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfaDblMujvlq3ElbUpJ,1332,0.5,2,smallsharpT,experiment,3,180,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,6,0,1
-MfaDcYhA0DqtUHfqsFq,1212,0.5,2,smallsharpT,experiment,3,181,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,6,0,1
-MfaDdJ9cd_jRzFxCGsG,1087,0.5,4,smallsharpT,experiment,3,182,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,4,,12,0,1
-MfaDedKm4nGQsi64EvW,2437,0.5,3,smalldotT,experiment,3,183,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfaDfqkiMNKMLXH6uww,1939,0.5,9,smallsharpT,experiment,3,184,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,12,1,1
-MfaDgjwB8YfCp2ArMfl,1643,0.5,11,smallsharpT,experiment,3,185,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,18,0,1
-MfaDiD9q00I3pVTZsTN,3021,0.5,8,smallsharpT,experiment,3,186,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,12,0,1
-MfaDjWKjOWR5g8cihcW,2301,0.5,6,smalldotT,experiment,3,187,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfaDl8WavnCwddSh--Y,3659,0.5,11,smalldotT,experiment,3,188,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,12,0,1
-MfaDmcaf0wfGznGJYj3,3058,0.5,5,smallsharpT,experiment,3,189,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfaDo98aDMQ9O5c8d1l,3235,0.5,10,smallsharpT,experiment,3,190,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,12,0,1
-MfaDq1_xy-3GHROd1Cv,5698,0.5,0,smallsharpT,experiment,3,191,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,3,,18,0,1
-MfaDqummAgtMGhpXvT2,1586,0.5,11,smallsharpT,experiment,3,192,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,4,,12,0,1
-MfaDsxfSNe7k2jkm-Yw,6361,0.5,8,smalldotT,experiment,3,193,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
-MfaDtlcSSd35dwqOEFL,1312,0.5,5,smallsharpT,experiment,3,194,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
-MfaDuzNgXsIPIJUBKuY,1965,0.5,6,smallsharpT,experiment,3,195,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,2,,18,0,1
-MfaDwJmOLu8qrFX1wkG,2459,0.5,1,smallsharpT,experiment,3,196,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,3,,12,0,1
-MfaDyBFMhLY2epMG3fa,4626,0.5,14,smallsharpT,experiment,3,197,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,4,,18,0,1
-MfaDzkHOkv_ahSaPuF9,4391,0.5,3,smallsharpT,experiment,3,198,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,5,,12,0,1
-MfaE-jFSNADwQgwgy_q,1025,0.5,1,smallsharpT,experiment,3,199,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,6,,6,0,1
-MfaE0n-Fa7MaWf1lpzB,2324,0.5,16,smalldotT,experiment,3,200,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,18,1,1
-MfaE1zY6ALnT6mRpd_f,1885,0.5,4,smalldotT,experiment,3,201,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,6,0,1
-MfaE2mDJ2XGADdiBggK,1228,0.5,1,smalldotT,experiment,3,202,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,3,,12,0,1
-MfaE48mso6AnC7pBKY2,3594,0.5,5,smalldotT,experiment,3,203,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,4,,6,0,1
-MfaE5EhjAlmlliRiKXE,1452,0.5,0,smalldotT,experiment,3,204,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,5,,6,0,1
-MfaE7MzFyKNeEegOVO0,6715,0.5,1,smallsharpT,experiment,3,205,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,18,1,1
-MfaE8ZPt8WZflBM91_L,1879,0.5,1,smalldotT,experiment,3,206,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,12,1,1
-MfaE9ka3ScWLD_H2jsG,1868,0.5,6,smallsharpT,experiment,3,207,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
-MfaEB9RAqK6QLucHXhQ,2731,0.5,10,smalldotT,experiment,3,208,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,1,,12,1,1
-MfaEC27r5DVllaC5GGk,1618,0.5,6,smallsharpT,experiment,3,209,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,1,,12,1,1
-MfaECutv-dnJQ1oR8Rk,1554,0.5,9,smallsharpT,experiment,3,210,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,18,0,1
